Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB51RS32C980,McGee Toyota of Claremont,NH
2024,Limited,Ruby Flare Pearl,AWD,51060,888.0,51948.0,Factory to port,False,,5TDACAB51RS32D062,Romeoville Toyota,IL
2024,Limited,Ruby Flare Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB51RS32D532,Walker Toyota,OH
2024,Limited,Midnight Black Metallic,AWD,51060,1999.0,53059.0,Factory to port,False,,5TDACAB51RS32D546,Foothills Toyota,WA
2024,XLE,Blueprint,AWD,46270,888.0,47158.0,Factory to port,False,,5TDACAB51RS32E390,Romeoville Toyota,IL
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB51RS32E597,Firelands Toyota,OH
2024,Limited,Wind Chill Pearl,AWD,51060,1295.0,52355.0,Factory to port,False,,5TDACAB51RS32E602,Jimmy Vasser Toyota,CA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB51RS33C733,Toyota of Des Moines,IA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Factory to port,False,,5TDACAB51RS33C957,DCH Toyota of Torrance,CA
2024,XLE,Ruby Flare Pearl,AWD,46270,7995.0,54265.0,Factory to port,False,,5TDACAB51RS33D560,Rodland Toyota,WA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB51RS33D980,Prestige Toyota of Ramsey,NJ
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB51RS33E286,Interstate Toyota,NY
2024,Limited,MIDNIGHT BLACK METALLIC,AWD,51060,0.0,51060.0,Factory to port,True,Available,5TDACAB52RS000246,Round Rock Toyota,TX
2024,XLE,Celestial Silver Metallic,AWD,46270,395.0,46665.0,Port to dealer,True,DealerHold,5TDACAB52RS000327,Toyota of Olympia,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB52RS000389,Downtown Toyota of Oakland,CA
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB52RS000571,Heartland Toyota,WA
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,At dealer,True,DealerHold,5TDACAB52RS000599,First Team Toyota,VA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,At dealer,False,DealerHold,5TDACAB52RS000649,Bayside Toyota,MD
